CustomerTransactionID,CustomerID,TransactionTypeID,InvoiceID,PaymentMethodID,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
484,1,1,113,NULL,1/2/2013,627,94.05,721.05,0,1/3/2013,1,7,30:00.0
500,1,1,117,NULL,1/2/2013,2032,304.8,2336.8,0,1/3/2013,1,7,30:00.0
511,1,1,120,NULL,1/2/2013,465,69.75,534.75,0,1/3/2013,1,7,30:00.0
515,1,1,121,NULL,1/2/2013,1598,239.7,1837.7,0,1/3/2013,1,7,30:00.0
530,1,1,124,NULL,1/2/2013,675,101.25,776.25,0,1/3/2013,1,7,30:00.0
544,1,1,127,NULL,1/2/2013,235,35.25,270.25,0,1/3/2013,1,7,30:00.0
631,1,1,129,NULL,1/3/2013,2285.6,342.84,2628.44,0,1/4/2013,1,9,30:00.0
634,1,1,130,NULL,1/3/2013,1597,239.55,1836.55,0,1/4/2013,1,9,30:00.0
641,1,1,133,NULL,1/3/2013,177.6,26.64,204.24,0,1/4/2013,1,9,30:00.0
661,1,1,140,NULL,1/3/2013,648,97.2,745.2,0,1/4/2013,1,9,30:00.0
667,1,1,143,NULL,1/3/2013,500,75,575,0,1/4/2013,1,9,30:00.0
669,1,1,144,NULL,1/3/2013,2160,324,2484,0,1/4/2013,1,9,30:00.0
680,1,1,149,NULL,1/3/2013,115.5,17.33,132.83,0,1/4/2013,1,9,30:00.0
682,1,1,150,NULL,1/3/2013,164,24.6,188.6,0,1/4/2013,1,9,30:00.0
684,1,1,151,NULL,1/3/2013,393.6,59.04,452.64,0,1/4/2013,1,9,30:00.0
688,1,1,153,NULL,1/3/2013,258,38.7,296.7,0,1/4/2013,1,9,30:00.0
694,1,1,154,NULL,1/3/2013,1044,156.6,1200.6,0,1/4/2013,1,9,30:00.0
731,1,1,165,NULL,1/3/2013,350,52.5,402.5,0,1/4/2013,1,9,30:00.0
756,1,1,170,NULL,1/3/2013,1933,289.95,2222.95,0,1/4/2013,1,9,30:00.0
778,1,1,175,NULL,1/3/2013,1573,235.95,1808.95,0,1/4/2013,1,9,30:00.0
787,1,1,177,NULL,1/3/2013,608,91.2,699.2,0,1/4/2013,1,9,30:00.0
796,1,1,179,NULL,1/3/2013,4445,666.75,5111.75,0,1/4/2013,1,9,30:00.0
814,1,1,183,NULL,1/3/2013,8330,1249.5,9579.5,0,1/4/2013,1,9,30:00.0
830,1,1,188,NULL,1/3/2013,175,26.25,201.25,0,1/4/2013,1,9,30:00.0
853,1,1,193,NULL,1/3/2013,2249,337.35,2586.35,0,1/4/2013,1,9,30:00.0
856,1,1,194,NULL,1/3/2013,39.25,5.89,45.14,0,1/4/2013,1,9,30:00.0
864,1,1,196,NULL,1/3/2013,178,26.7,204.7,0,1/4/2013,1,9,30:00.0
868,1,1,197,NULL,1/3/2013,8272,1240.8,9512.8,0,1/4/2013,1,9,30:00.0
875,1,1,199,NULL,1/3/2013,276,41.4,317.4,0,1/4/2013,1,9,30:00.0
1005,1,1,217,NULL,1/4/2013,1920,288,2208,0,1/5/2013,1,17,30:00.0
1015,1,1,222,NULL,1/4/2013,190,28.5,218.5,0,1/5/2013,1,17,30:00.0
1022,1,1,225,NULL,1/4/2013,3104,465.6,3569.6,0,1/5/2013,1,17,30:00.0
1027,1,1,227,NULL,1/4/2013,2004,300.6,2304.6,0,1/5/2013,1,17,30:00.0
1033,1,1,230,NULL,1/4/2013,64,9.6,73.6,0,1/5/2013,1,17,30:00.0
1052,1,1,236,NULL,1/4/2013,646,96.9,742.9,0,1/5/2013,1,17,30:00.0
1061,1,1,238,NULL,1/4/2013,341,51.15,392.15,0,1/5/2013,1,17,30:00.0
1068,1,1,240,NULL,1/4/2013,2349.6,352.44,2702.04,0,1/5/2013,1,17,30:00.0
1073,1,1,241,NULL,1/4/2013,9602,1440.3,11042.3,0,1/5/2013,1,17,30:00.0
1087,1,1,244,NULL,1/4/2013,4371.25,655.69,5026.94,0,1/5/2013,1,17,30:00.0
1110,1,1,249,NULL,1/4/2013,390,58.5,448.5,0,1/5/2013,1,17,30:00.0
1114,1,1,250,NULL,1/4/2013,2025,303.75,2328.75,0,1/5/2013,1,17,30:00.0
1120,1,1,251,NULL,1/4/2013,3170,475.5,3645.5,0,1/5/2013,1,17,30:00.0
1135,1,1,254,NULL,1/4/2013,1466,219.9,1685.9,0,1/5/2013,1,17,30:00.0
1146,1,1,257,NULL,1/4/2013,1070.5,160.58,1231.08,0,1/5/2013,1,17,30:00.0
1156,1,1,259,NULL,1/4/2013,1992,298.8,2290.8,0,1/5/2013,1,17,30:00.0
1159,1,1,260,NULL,1/4/2013,268.25,40.24,308.49,0,1/5/2013,1,17,30:00.0
1225,1,1,271,NULL,1/5/2013,2367,355.05,2722.05,0,1/6/2013,1,20,30:00.0
1252,1,1,278,NULL,1/5/2013,1181,177.15,1358.15,0,1/6/2013,1,20,30:00.0
1257,1,1,279,NULL,1/5/2013,475,71.25,546.25,0,1/6/2013,1,20,30:00.0
1260,1,1,280,NULL,1/5/2013,328,49.2,377.2,0,1/6/2013,1,20,30:00.0
1270,1,1,283,NULL,1/5/2013,762,114.3,876.3,0,1/6/2013,1,20,30:00.0
1277,1,1,285,NULL,1/5/2013,317,47.55,364.55,0,1/6/2013,1,20,30:00.0
1291,1,1,288,NULL,1/5/2013,1666,249.9,1915.9,0,1/6/2013,1,20,30:00.0
1297,1,1,290,NULL,1/5/2013,425.2,63.78,488.98,0,1/6/2013,1,20,30:00.0
1300,1,1,291,NULL,1/5/2013,71,10.65,81.65,0,1/6/2013,1,20,30:00.0
1306,1,1,293,NULL,1/5/2013,292,43.8,335.8,0,1/6/2013,1,20,30:00.0
1314,1,1,295,NULL,1/5/2013,2624,393.6,3017.6,0,1/6/2013,1,20,30:00.0
1318,1,1,296,NULL,1/5/2013,2397,359.55,2756.55,0,1/6/2013,1,20,30:00.0
1325,1,1,298,NULL,1/5/2013,391.5,58.73,450.23,0,1/6/2013,1,20,30:00.0
1346,1,1,304,NULL,1/5/2013,643.2,96.48,739.68,0,1/6/2013,1,20,30:00.0
1352,1,1,305,NULL,1/5/2013,2368,355.2,2723.2,0,1/6/2013,1,20,30:00.0
1357,1,1,306,NULL,1/5/2013,2587.75,388.16,2975.91,0,1/6/2013,1,20,30:00.0
1431,1,1,310,NULL,1/7/2013,7931,1189.65,9120.65,0,1/8/2013,1,14,30:00.0
1434,1,1,311,NULL,1/7/2013,2160,324,2484,0,1/8/2013,1,14,30:00.0
1437,1,1,312,NULL,1/7/2013,195,29.25,224.25,0,1/8/2013,1,14,30:00.0
1439,1,1,313,NULL,1/7/2013,10800,1620,12420,0,1/8/2013,1,14,30:00.0
1444,1,1,314,NULL,1/7/2013,3122,468.3,3590.3,0,1/8/2013,1,14,30:00.0
1448,1,1,315,NULL,1/7/2013,6580,987,7567,0,1/8/2013,1,14,30:00.0
1454,1,1,316,NULL,1/7/2013,1815,272.25,2087.25,0,1/8/2013,1,14,30:00.0
1457,1,1,317,NULL,1/7/2013,2520,378,2898,0,1/8/2013,1,14,30:00.0
1462,1,1,318,NULL,1/7/2013,1072,160.8,1232.8,0,1/8/2013,1,14,30:00.0
1467,1,1,319,NULL,1/7/2013,2304,345.6,2649.6,0,1/8/2013,1,14,30:00.0
1472,1,1,320,NULL,1/7/2013,1544.6,231.69,1776.29,0,1/8/2013,1,14,30:00.0
1477,1,1,321,NULL,1/7/2013,415.6,62.34,477.94,0,1/8/2013,1,14,30:00.0
1481,1,1,322,NULL,1/7/2013,1470,220.5,1690.5,0,1/8/2013,1,14,30:00.0
1484,1,1,323,NULL,1/7/2013,5300,795,6095,0,1/8/2013,1,14,30:00.0
1490,1,1,324,NULL,1/7/2013,2577.6,386.64,2964.24,0,1/8/2013,1,14,30:00.0
1495,1,1,325,NULL,1/7/2013,1687,253.05,1940.05,0,1/8/2013,1,14,30:00.0
1497,1,1,326,NULL,1/7/2013,1512,226.8,1738.8,0,1/8/2013,1,14,30:00.0
1500,1,1,327,NULL,1/7/2013,47,7.05,54.05,0,1/8/2013,1,14,30:00.0
1503,1,1,328,NULL,1/7/2013,3150,472.5,3622.5,0,1/8/2013,1,14,30:00.0
1509,1,1,329,NULL,1/7/2013,3177.25,476.59,3653.84,0,1/8/2013,1,14,30:00.0
1515,1,1,330,NULL,1/7/2013,3185,477.75,3662.75,0,1/8/2013,1,14,30:00.0
1518,1,1,331,NULL,1/7/2013,1856,278.4,2134.4,0,1/8/2013,1,14,30:00.0
1523,1,1,332,NULL,1/7/2013,6958,1043.7,8001.7,0,1/8/2013,1,14,30:00.0
1527,1,1,333,NULL,1/7/2013,1478,221.7,1699.7,0,1/8/2013,1,14,30:00.0
1530,1,1,334,NULL,1/7/2013,401.6,60.24,461.84,0,1/8/2013,1,14,30:00.0
1535,1,1,335,NULL,1/7/2013,3372,505.8,3877.8,0,1/8/2013,1,14,30:00.0
1539,1,1,336,NULL,1/7/2013,498,74.7,572.7,0,1/8/2013,1,14,30:00.0
1541,1,1,337,NULL,1/7/2013,288,43.2,331.2,0,1/8/2013,1,14,30:00.0
1547,1,1,338,NULL,1/7/2013,1903,285.45,2188.45,0,1/8/2013,1,14,30:00.0
1550,1,1,339,NULL,1/7/2013,3540,531,4071,0,1/8/2013,1,14,30:00.0
1554,1,1,340,NULL,1/7/2013,5845,876.75,6721.75,0,1/8/2013,1,14,30:00.0
1557,1,1,341,NULL,1/7/2013,1942.5,291.38,2233.88,0,1/8/2013,1,14,30:00.0
1562,1,1,342,NULL,1/7/2013,1355,203.25,1558.25,0,1/8/2013,1,14,30:00.0
1567,1,1,343,NULL,1/7/2013,487.5,73.13,560.63,0,1/8/2013,1,14,30:00.0
1569,1,1,344,NULL,1/7/2013,3000,450,3450,0,1/8/2013,1,14,30:00.0
1925,1,1,418,NULL,1/8/2013,2014,302.1,2316.1,0,1/9/2013,1,2,30:00.0
1927,1,1,419,NULL,1/8/2013,224,33.6,257.6,0,1/9/2013,1,2,30:00.0
1931,1,1,420,NULL,1/8/2013,319,47.85,366.85,0,1/9/2013,1,2,30:00.0
1934,1,1,421,NULL,1/8/2013,1216,182.4,1398.4,0,1/9/2013,1,2,30:00.0
1939,1,1,422,NULL,1/8/2013,1086,162.9,1248.9,0,1/9/2013,1,2,30:00.0
1945,1,1,423,NULL,1/8/2013,2238,335.7,2573.7,0,1/9/2013,1,2,30:00.0
1951,1,1,424,NULL,1/8/2013,2756.5,413.48,3169.98,0,1/9/2013,1,2,30:00.0
1953,1,1,425,NULL,1/8/2013,420,63,483,0,1/9/2013,1,2,30:00.0
1955,1,1,426,NULL,1/8/2013,3200,480,3680,0,1/9/2013,1,2,30:00.0
1961,1,1,427,NULL,1/8/2013,3691.2,553.68,4244.88,0,1/9/2013,1,2,30:00.0
1964,1,1,428,NULL,1/8/2013,932.5,139.88,1072.38,0,1/9/2013,1,2,30:00.0
1970,1,1,429,NULL,1/8/2013,1296,194.4,1490.4,0,1/9/2013,1,2,30:00.0
1974,1,1,430,NULL,1/8/2013,2608,391.2,2999.2,0,1/9/2013,1,2,30:00.0
1978,1,1,431,NULL,1/8/2013,1243,186.45,1429.45,0,1/9/2013,1,2,30:00.0
1980,1,1,432,NULL,1/8/2013,1512,226.8,1738.8,0,1/9/2013,1,2,30:00.0
2110,1,1,457,NULL,1/9/2013,12415.9,1862.39,14278.29,0,1/10/2013,1,15,30:00.0
2114,1,1,458,NULL,1/9/2013,1570.4,235.56,1805.96,0,1/10/2013,1,15,30:00.0
2119,1,1,459,NULL,1/9/2013,3695,554.25,4249.25,0,1/10/2013,1,15,30:00.0
2122,1,1,460,NULL,1/9/2013,2358,353.7,2711.7,0,1/10/2013,1,15,30:00.0
2125,1,1,461,NULL,1/9/2013,133.35,20,153.35,0,1/10/2013,1,15,30:00.0
2128,1,1,462,NULL,1/9/2013,149,22.35,171.35,0,1/10/2013,1,15,30:00.0
2132,1,1,463,NULL,1/9/2013,1268.5,190.28,1458.78,0,1/10/2013,1,15,30:00.0
2136,1,1,464,NULL,1/9/2013,1617,242.55,1859.55,0,1/10/2013,1,15,30:00.0
2142,1,1,465,NULL,1/9/2013,912,136.8,1048.8,0,1/10/2013,1,15,30:00.0
2146,1,1,466,NULL,1/9/2013,3191.2,478.68,3669.88,0,1/10/2013,1,15,30:00.0
2152,1,1,467,NULL,1/9/2013,2182.2,327.33,2509.53,0,1/10/2013,1,15,30:00.0
2157,1,1,468,NULL,1/9/2013,1286,192.9,1478.9,0,1/10/2013,1,15,30:00.0
2163,1,1,469,NULL,1/9/2013,1545,231.75,1776.75,0,1/10/2013,1,15,30:00.0
2166,1,1,470,NULL,1/9/2013,1464,219.6,1683.6,0,1/10/2013,1,15,30:00.0
2381,1,1,511,NULL,1/10/2013,509,76.35,585.35,0,1/11/2013,1,18,30:00.0
2386,1,1,512,NULL,1/10/2013,588.75,88.31,677.06,0,1/11/2013,1,18,30:00.0
2392,1,1,513,NULL,1/10/2013,846,126.9,972.9,0,1/11/2013,1,18,30:00.0
2398,1,1,514,NULL,1/10/2013,3862.6,579.39,4441.99,0,1/11/2013,1,18,30:00.0
2404,1,1,515,NULL,1/10/2013,4160.5,624.08,4784.58,0,1/11/2013,1,18,30:00.0
2407,1,1,516,NULL,1/10/2013,257,38.55,295.55,0,1/11/2013,1,18,30:00.0
2410,1,1,517,NULL,1/10/2013,370.4,55.56,425.96,0,1/11/2013,1,18,30:00.0
2416,1,1,518,NULL,1/10/2013,1216,182.4,1398.4,0,1/11/2013,1,18,30:00.0
2421,1,1,519,NULL,1/10/2013,1466,219.9,1685.9,0,1/11/2013,1,18,30:00.0
2424,1,1,520,NULL,1/10/2013,1858,278.7,2136.7,0,1/11/2013,1,18,30:00.0
2429,1,1,521,NULL,1/10/2013,2123.2,318.48,2441.68,0,1/11/2013,1,18,30:00.0
2433,1,1,522,NULL,1/10/2013,254.4,38.16,292.56,0,1/11/2013,1,18,30:00.0
2436,1,1,523,NULL,1/10/2013,2040,306,2346,0,1/11/2013,1,18,30:00.0
2441,1,1,524,NULL,1/10/2013,3778,566.7,4344.7,0,1/11/2013,1,18,30:00.0
2443,1,1,525,NULL,1/10/2013,2565,384.75,2949.75,0,1/11/2013,1,18,30:00.0
2446,1,1,526,NULL,1/10/2013,2290,343.5,2633.5,0,1/11/2013,1,18,30:00.0
2450,1,1,527,NULL,1/10/2013,2628,394.2,3022.2,0,1/11/2013,1,18,30:00.0
2456,1,1,528,NULL,1/10/2013,11550.6,1732.59,13283.19,0,1/11/2013,1,18,30:00.0
2462,1,1,529,NULL,1/10/2013,2440,366,2806,0,1/11/2013,1,18,30:00.0
2468,1,1,530,NULL,1/10/2013,4112,616.8,4728.8,0,1/11/2013,1,18,30:00.0
2471,1,1,531,NULL,1/10/2013,775.4,116.31,891.71,0,1/11/2013,1,18,30:00.0
2474,1,1,532,NULL,1/10/2013,396.75,59.51,456.26,0,1/11/2013,1,18,30:00.0
2476,1,1,533,NULL,1/10/2013,1512,226.8,1738.8,0,1/11/2013,1,18,30:00.0
2480,1,1,534,NULL,1/10/2013,942.5,141.38,1083.88,0,1/11/2013,1,18,30:00.0
2486,1,1,535,NULL,1/10/2013,7025,1053.75,8078.75,0,1/11/2013,1,18,30:00.0
2490,1,1,536,NULL,1/10/2013,2904,435.6,3339.6,0,1/11/2013,1,18,30:00.0
2492,1,1,537,NULL,1/10/2013,17091,2563.65,19654.65,0,1/11/2013,1,18,30:00.0
2496,1,1,538,NULL,1/10/2013,936.4,140.46,1076.86,0,1/11/2013,1,18,30:00.0
2499,1,1,539,NULL,1/10/2013,680,102,782,0,1/11/2013,1,18,30:00.0
2504,1,1,540,NULL,1/10/2013,2774,416.1,3190.1,0,1/11/2013,1,18,30:00.0
2507,1,1,541,NULL,1/10/2013,680,102,782,0,1/11/2013,1,18,30:00.0
2750,1,1,590,NULL,1/11/2013,2108,316.2,2424.2,0,1/12/2013,1,11,30:00.0
2755,1,1,591,NULL,1/11/2013,9718,1457.7,11175.7,0,1/12/2013,1,11,30:00.0
2759,1,1,592,NULL,1/11/2013,320,48,368,0,1/12/2013,1,11,30:00.0
2763,1,1,593,NULL,1/11/2013,3089,463.35,3552.35,0,1/12/2013,1,11,30:00.0
2766,1,1,594,NULL,1/11/2013,852.2,127.83,980.03,0,1/12/2013,1,11,30:00.0
2771,1,1,595,NULL,1/11/2013,2924,438.6,3362.6,0,1/12/2013,1,11,30:00.0
2776,1,1,596,NULL,1/11/2013,4140,621,4761,0,1/12/2013,1,11,30:00.0
2782,1,1,597,NULL,1/11/2013,459.5,68.93,528.43,0,1/12/2013,1,11,30:00.0
2787,1,1,598,NULL,1/11/2013,10129,1519.35,11648.35,0,1/12/2013,1,11,30:00.0
2791,1,1,599,NULL,1/11/2013,5159.2,773.88,5933.08,0,1/12/2013,1,11,30:00.0
2797,1,1,600,NULL,1/11/2013,847,127.05,974.05,0,1/12/2013,1,11,30:00.0
2803,1,1,601,NULL,1/11/2013,9555,1433.25,10988.25,0,1/12/2013,1,11,30:00.0
2808,1,1,602,NULL,1/11/2013,2420,363,2783,0,1/12/2013,1,11,30:00.0
2812,1,1,603,NULL,1/11/2013,6433.5,965.03,7398.53,0,1/12/2013,1,11,30:00.0
2817,1,1,604,NULL,1/11/2013,3641.4,546.21,4187.61,0,1/12/2013,1,11,30:00.0
2820,1,1,605,NULL,1/11/2013,1284.8,192.72,1477.52,0,1/12/2013,1,11,30:00.0
2824,1,1,606,NULL,1/11/2013,1914,287.1,2201.1,0,1/12/2013,1,11,30:00.0
2830,1,1,607,NULL,1/11/2013,2513,376.95,2889.95,0,1/12/2013,1,11,30:00.0
2834,1,1,608,NULL,1/11/2013,1758,263.7,2021.7,0,1/12/2013,1,11,30:00.0
2840,1,1,609,NULL,1/11/2013,956.5,143.48,1099.98,0,1/12/2013,1,11,30:00.0
2842,1,1,610,NULL,1/11/2013,2560,384,2944,0,1/12/2013,1,11,30:00.0
2847,1,1,611,NULL,1/11/2013,1653,247.95,1900.95,0,1/12/2013,1,11,30:00.0
2853,1,1,612,NULL,1/11/2013,6200.4,930.06,7130.46,0,1/12/2013,1,11,30:00.0
2856,1,1,613,NULL,1/11/2013,3034,455.1,3489.1,0,1/12/2013,1,11,30:00.0
2858,1,1,614,NULL,1/11/2013,1080,162,1242,0,1/12/2013,1,11,30:00.0
2864,1,1,615,NULL,1/11/2013,2527,379.05,2906.05,0,1/12/2013,1,11,30:00.0
2868,1,1,616,NULL,1/11/2013,8127,1219.05,9346.05,0,1/12/2013,1,11,30:00.0
3118,1,1,665,NULL,1/12/2013,624,93.6,717.6,0,1/13/2013,1,12,30:00.0
3123,1,1,666,NULL,1/12/2013,5343.4,801.51,6144.91,0,1/13/2013,1,12,30:00.0
3127,1,1,667,NULL,1/12/2013,8749,1312.35,10061.35,0,1/13/2013,1,12,30:00.0
3132,1,1,668,NULL,1/12/2013,6320.4,948.06,7268.46,0,1/13/2013,1,12,30:00.0
3137,1,1,669,NULL,1/12/2013,13008.4,1951.26,14959.66,0,1/13/2013,1,12,30:00.0
3141,1,1,670,NULL,1/12/2013,7193.75,1079.06,8272.81,0,1/13/2013,1,12,30:00.0
3145,1,1,671,NULL,1/12/2013,1738,260.7,1998.7,0,1/13/2013,1,12,30:00.0
3151,1,1,672,NULL,1/12/2013,3079,461.85,3540.85,0,1/13/2013,1,12,30:00.0
3255,1,1,689,NULL,1/14/2013,3139.65,470.95,3610.6,0,1/15/2013,1,16,30:00.0
3259,1,1,690,NULL,1/14/2013,877,131.55,1008.55,0,1/15/2013,1,16,30:00.0
3265,1,1,691,NULL,1/14/2013,2549.2,382.38,2931.58,0,1/15/2013,1,16,30:00.0
3271,1,1,692,NULL,1/14/2013,5700,855,6555,0,1/15/2013,1,16,30:00.0
3276,1,1,693,NULL,1/14/2013,2064,309.6,2373.6,0,1/15/2013,1,16,30:00.0
3279,1,1,694,NULL,1/14/2013,155.6,23.34,178.94,0,1/15/2013,1,16,30:00.0
3282,1,1,695,NULL,1/14/2013,289,43.35,332.35,0,1/15/2013,1,16,30:00.0
3286,1,1,696,NULL,1/14/2013,508,76.2,584.2,0,1/15/2013,1,16,30:00.0
3289,1,1,697,NULL,1/14/2013,1941,291.15,2232.15,0,1/15/2013,1,16,30:00.0
3293,1,1,698,NULL,1/14/2013,1598,239.7,1837.7,0,1/15/2013,1,16,30:00.0
3298,1,1,699,NULL,1/14/2013,4312,646.8,4958.8,0,1/15/2013,1,16,30:00.0
3303,1,1,700,NULL,1/14/2013,475,71.25,546.25,0,1/15/2013,1,16,30:00.0
3307,1,1,701,NULL,1/14/2013,4907.25,736.09,5643.34,0,1/15/2013,1,16,30:00.0
3313,1,1,702,NULL,1/14/2013,562,84.3,646.3,0,1/15/2013,1,16,30:00.0
3319,1,1,703,NULL,1/14/2013,851.4,127.71,979.11,0,1/15/2013,1,16,30:00.0
3324,1,1,704,NULL,1/14/2013,426,63.9,489.9,0,1/15/2013,1,16,30:00.0
3330,1,1,705,NULL,1/14/2013,3868.5,580.28,4448.78,0,1/15/2013,1,16,30:00.0
3333,1,1,706,NULL,1/14/2013,1392,208.8,1600.8,0,1/15/2013,1,16,30:00.0
3336,1,1,707,NULL,1/14/2013,1904,285.6,2189.6,0,1/15/2013,1,16,30:00.0
3340,1,1,708,NULL,1/14/2013,4272,640.8,4912.8,0,1/15/2013,1,16,30:00.0
3346,1,1,709,NULL,1/14/2013,2932,439.8,3371.8,0,1/15/2013,1,16,30:00.0
3612,1,1,761,NULL,1/15/2013,2160,324,2484,0,1/16/2013,1,3,30:00.0
3615,1,1,762,NULL,1/15/2013,416,62.4,478.4,0,1/16/2013,1,3,30:00.0
3620,1,1,763,NULL,1/15/2013,702,105.3,807.3,0,1/16/2013,1,3,30:00.0
3625,1,1,764,NULL,1/15/2013,1642,246.3,1888.3,0,1/16/2013,1,3,30:00.0
3627,1,1,765,NULL,1/15/2013,1296,194.4,1490.4,0,1/16/2013,1,3,30:00.0
3631,1,1,766,NULL,1/15/2013,8760,1314,10074,0,1/16/2013,1,3,30:00.0
3634,1,1,767,NULL,1/15/2013,823,123.45,946.45,0,1/16/2013,1,3,30:00.0
3640,1,1,768,NULL,1/15/2013,2429,364.35,2793.35,0,1/16/2013,1,3,30:00.0
3644,1,1,769,NULL,1/15/2013,4199,629.85,4828.85,0,1/16/2013,1,3,30:00.0
3648,1,1,770,NULL,1/15/2013,313,46.95,359.95,0,1/16/2013,1,3,30:00.0
3653,1,1,771,NULL,1/15/2013,4070.75,610.61,4681.36,0,1/16/2013,1,3,30:00.0
3659,1,1,772,NULL,1/15/2013,3221.5,483.23,3704.73,0,1/16/2013,1,3,30:00.0
3665,1,1,773,NULL,1/15/2013,3978,596.7,4574.7,0,1/16/2013,1,3,30:00.0
3669,1,1,774,NULL,1/15/2013,309,46.35,355.35,0,1/16/2013,1,3,30:00.0
3675,1,1,775,NULL,1/15/2013,15718,2357.7,18075.7,0,1/16/2013,1,3,30:00.0
3681,1,1,776,NULL,1/15/2013,1526.4,228.96,1755.36,0,1/16/2013,1,3,30:00.0
3687,1,1,777,NULL,1/15/2013,1406,210.9,1616.9,0,1/16/2013,1,3,30:00.0
3691,1,1,778,NULL,1/15/2013,2722,408.3,3130.3,0,1/16/2013,1,3,30:00.0
3697,1,1,779,NULL,1/15/2013,1389.6,208.44,1598.04,0,1/16/2013,1,3,30:00.0
3701,1,1,780,NULL,1/15/2013,456,68.4,524.4,0,1/16/2013,1,3,30:00.0
3704,1,1,781,NULL,1/15/2013,1824,273.6,2097.6,0,1/16/2013,1,3,30:00.0
3709,1,1,782,NULL,1/15/2013,1646,246.9,1892.9,0,1/16/2013,1,3,30:00.0
3715,1,1,783,NULL,1/15/2013,2907.6,436.14,3343.74,0,1/16/2013,1,3,30:00.0
3719,1,1,784,NULL,1/15/2013,3198,479.7,3677.7,0,1/16/2013,1,3,30:00.0
3722,1,1,785,NULL,1/15/2013,3500,525,4025,0,1/16/2013,1,3,30:00.0
3728,1,1,786,NULL,1/15/2013,3697.2,554.58,4251.78,0,1/16/2013,1,3,30:00.0
3731,1,1,787,NULL,1/15/2013,583.2,87.48,670.68,0,1/16/2013,1,3,30:00.0
3735,1,1,788,NULL,1/15/2013,298,44.7,342.7,0,1/16/2013,1,3,30:00.0
